,IR
1984-08,12.72
1984-09,12.52
1984-10,12.16
1984-11,11.57
1984-12,11.5
1985-01,11.38
1985-02,11.51
1985-03,11.86
1985-04,11.43
1985-05,10.85
1985-06,10.16
1985-07,10.31
1985-08,10.33
1985-09,10.37
1985-10,10.24
1985-11,9.78
1985-12,9.26
1986-01,9.19
1986-02,8.7
1986-03,7.78
1986-04,7.3
1986-05,7.71
1986-06,7.8
1986-07,7.3
1986-08,7.17
1986-09,7.45
1986-10,7.43
1986-11,7.25
1986-12,7.11
1987-01,7.08
1987-02,7.25
1987-03,7.25
1987-04,8.02
1987-05,8.61
1987-06,8.4
1987-07,8.45
1987-08,8.76
1987-09,9.42
1987-10,9.52
1987-11,8.86
1987-12,8.99
1988-01,8.67
1988-02,8.21
1988-03,8.37
1988-04,8.72
1988-05,9.09
1988-06,8.92
1988-07,9.06
1988-08,9.26
1988-09,8.98
1988-10,8.8
1988-11,8.96
1988-12,9.11
1989-01,9.09
1989-02,9.17
1989-03,9.36
1989-04,9.18
1989-05,8.86
1989-06,8.28
1989-07,8.02
1989-08,8.11
1989-09,8.19
1989-10,8.01
1989-11,7.87
1989-12,7.84
1990-01,8.21
1990-02,8.47
1990-03,8.59
1990-04,8.79
1990-05,8.76
1990-06,8.48
1990-07,8.47
1990-08,8.75
1990-09,8.89
1990-10,8.72
1990-11,8.39
1990-12,8.08
1991-01,8.09
1991-02,7.85
1991-03,8.11
1991-04,8.04
1991-05,8.07
1991-06,8.28
1991-07,8.27
1991-08,7.9
1991-09,7.65
1991-10,7.53
1991-11,7.42
1991-12,7.09
1992-01,7.03
1992-02,7.34
1992-03,7.54
1992-04,7.48
1992-05,7.39
1992-06,7.26
1992-07,6.84
1992-08,6.59
1992-09,6.42
1992-10,6.59
1992-11,6.87
1992-12,6.77
1993-01,6.6
1993-02,6.26
1993-03,5.98
1993-04,5.97
1993-05,6.04
1993-06,5.96
1993-07,5.81
1993-08,5.68
1993-09,5.36
1993-10,5.33
1993-11,5.72
1993-12,5.77
1994-01,5.75
1994-02,5.97
1994-03,6.48
1994-04,6.97
1994-05,7.18
1994-06,7.1
1994-07,7.3
1994-08,7.24
1994-09,7.46
1994-10,7.74
1994-11,7.96
1994-12,7.81
1995-01,7.78
1995-02,7.47
1995-03,7.2
1995-04,7.06
1995-05,6.63
1995-06,6.17
1995-07,6.28
1995-08,6.49
1995-09,6.2
1995-10,6.04
1995-11,5.93
1995-12,5.71
1996-01,5.65
1996-02,5.81
1996-03,6.27
1996-04,6.51
1996-05,6.74
1996-06,6.91
1996-07,6.87
1996-08,6.64
1996-09,6.83
1996-10,6.53
1996-11,6.2
1996-12,6.3
1997-01,6.58
1997-02,6.42
1997-03,6.69
1997-04,6.89
1997-05,6.71
1997-06,6.49
1997-07,6.22
1997-08,6.3
1997-09,6.21
1997-10,6.03
1997-11,5.88
1997-12,5.81
1998-01,5.54
1998-02,5.57
1998-03,5.65
1998-04,5.64
1998-05,5.65
1998-06,5.5
1998-07,5.46
1998-08,5.34
1998-09,4.81
1998-10,4.53
1998-11,4.83
1998-12,4.65
1999-01,4.72
1999-02,5
1999-03,5.23
1999-04,5.18
1999-05,5.54
